,Latitude,Longitude,num_crimes_comm_area,num_complaints_comm_area,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Firearm-related,Tuberculosis,canvass fail rate,complaint fail rate,num prev canvass inspections,num prev complaint inspections,last inspection fail,inspection-complaint interaction,inspection-fail interaction,consec-fail interaction,Facility Type_Grocery Store,Facility Type_Restaurant,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Results_Fail,Inspection Date,Facility Type_Daycare 2,lat_long_interaction
90,41.8819518765,-87.6366203494,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.166666666667,0.0,6.0,1.0,0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-05-09,0.0,-3670.39271609
98,41.8819518765,-87.6366203494,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-04-13,0.0,-3670.39271609
105,41.8819366747,-87.6292534799,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.333333333333,0.337701612903,6.0,0.0,0,0.0,12.0,0.333333333333,0.0,1.0,1.0,0.0,0.0,2016-05-16,0.0,-3670.0828451
106,41.8819366747,-87.6292534799,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,0.0,0.0,2010-10-26,0.0,-3670.0828451
112,41.8819366747,-87.6292534799,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.5,5.0,2.0,0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-18,0.0,-3670.0828451
117,41.8819027505,-87.6351640598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,4.0,1.0,0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-04-24,0.0,-3670.32741868
120,41.8819027505,-87.6351640598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012-04-25,0.0,-3670.32741868
128,41.8819027505,-87.6351640598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-08,0.0,-3670.32741868
133,41.8819027505,-87.6351640598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-08-29,0.0,-3670.32741868
134,41.8819951976,-87.6276472452,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,0.0,0.0,2014-12-04,0.0,-3670.0207011
